observation_id,keyword,list_position,rank_raw,heat_index_display,impressions_display,likes_display,shares_display,comments_display,classification,group,group_label,reason,keyword_content_url,raw_ref,raw_row
fm-us-100-20260907-001,free shipping,1,,2880,1140.00万,4.06万,632,414,other_or_generic,,,词本身未提供明确服装方向；包含通用引导、其他品类及含糊表达，保留原词待需要时复核。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=free%20shipping&region=US,raw_keyword_table.json,1
fm-us-100-20260907-002,for free,2,,2740,5870.00万,11.09万,776,1165,other_or_generic,,,词本身未提供明确服装方向；包含通用引导、其他品类及含糊表达，保留原词待需要时复核。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=for%20free&region=US,raw_keyword_table.json,2
fm-us-100-20260907-003,free,3,,2390,2330.00万,4.56万,269,619,other_or_generic,,,词本身未提供明确服装方向；包含通用引导、其他品类及含糊表达，保留原词待需要时复核。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=free&region=US,raw_keyword_table.json,3
fm-us-100-20260907-004,this game,4,4,2230,641.00万,4.54万,140,600,other_or_generic,,,词本身未提供明确服装方向；包含通用引导、其他品类及含糊表达，保留原词待需要时复核。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=this%20game&region=US,raw_keyword_table.json,4
fm-us-100-20260907-005,try it,5,5,2000,6470.00万,4.05万,553,564,other_or_generic,,,词本身未提供明确服装方向；包含通用引导、其他品类及含糊表达，保留原词待需要时复核。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=try%20it&region=US,raw_keyword_table.json,5
fm-us-100-20260907-006,learn more,6,6,1680,3210.00万,4.19万,781,891,other_or_generic,,,词本身未提供明确服装方向；包含通用引导、其他品类及含糊表达，保留原词待需要时复核。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=learn%20more&region=US,raw_keyword_table.json,6
fm-us-100-20260907-007,summer,7,7,1620,359.00万,1.65万,248,126,context_pending_apparel_link,,,人群、季节、风格或场景词；缺服装关联证据，暂不组合成新需求词。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=summer&region=US,raw_keyword_table.json,7
fm-us-100-20260907-008,had to try,8,8,1590,126.00万,4678,26,170,other_or_generic,,,词本身未提供明确服装方向；包含通用引导、其他品类及含糊表达，保留原词待需要时复核。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=had%20to%20try&region=US,raw_keyword_table.json,8
fm-us-100-20260907-009,shop now,9,9,1530,3080.00万,4.03万,511,213,other_or_generic,,,词本身未提供明确服装方向；包含通用引导、其他品类及含糊表达，保留原词待需要时复核。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=shop%20now&region=US,raw_keyword_table.json,9
fm-us-100-20260907-010,you try it,10,10,1460,55.80万,2096,18,134,other_or_generic,,,词本身未提供明确服装方向；包含通用引导、其他品类及含糊表达，保留原词待需要时复核。,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=you%20try%20it&region=US,raw_keyword_table.json,10
