"record_id","product_id","fastmoss_product_url","title","shop_id","shop_name","fastmoss_shop_url","source_page","page_position","list_slot_number","display_rank_raw","display_rank_number","market","country_display","source_category_id","source_category_name","listing_date","price_raw","price_min_display","price_max_display","currency_symbol_display","currency_code","commission_raw","commission_percent_display","shop_sales_raw","shop_sales_display_value","sales_3d_raw","sales_3d_display_value","gmv_3d_raw","gmv_3d_display_value","total_sales_raw","total_sales_display_value","total_gmv_raw","total_gmv_display_value","source_url","collected_at_utc","scope_review_status","scope_review_note","quality_flags"
"p01-r01","1732607430962811779","https://www.fastmoss.com/zh/e-commerce/detail/1732607430962811779","Comfrt | VIP Airplane Mode Travel Zip Hoodie - Mega | CloudTouch Fleece Zip-Up With Silk-Lined Hood & Eye Mask","7495045046260173699","Comfrt","https://www.fastmoss.com/zh/shop-marketing/detail/7495045046260173699","1","1","1","","","US","美国","2","女装与女士内衣","2026-09-02","$62.00","62","62","$","","10%","10","408.50万","4085000","797","797","$5.10万","51000","797","797","$5.14万","51400","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","not_flagged_by_title","","[""has_abbreviated_display_values""]"
"p01-r02","1732553917868708696","https://www.fastmoss.com/zh/e-commerce/detail/1732553917868708696","Women’s High-Waisted Single-Seam Thermal Tights - Full-Length Faux Sheer Fleece-Lined Pantyhose, Tummy-Control, Warmth-Locking Thick Lining, Stretchy Sculpting Fit, Natural Sheer Look, Footed Design for Dresses, Skirts.,sohochic","7494477973877655384","Shape Muse","https://www.fastmoss.com/zh/shop-marketing/detail/7494477973877655384","1","2","2","","","US","美国","2","女装与女士内衣","2026-09-02","$11.90","11.9","11.9","$","","20%","20","1952","1952","795","795","$8883.5","8883.5","929","929","$1.03万","10300","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","not_flagged_by_title","","[""has_abbreviated_display_values""]"
"p01-r03","1732572908288512899","https://www.fastmoss.com/zh/e-commerce/detail/1732572908288512899","Women Jelly Bras,Women’s wire-free underwear, seamless push-up bra, wire-free push-up design, comfortable, breathable, skin-friendly to wear, women’s underwear, women’s bras Everyday Everyday Womenswear Everyday","7494543429968693123","Good Enough Apparel","https://www.fastmoss.com/zh/shop-marketing/detail/7494543429968693123","1","3","3","","","US","美国","2","女装与女士内衣","2026-09-02","$15.80","15.8","15.8","$","","10%","10","1.58万","15800","607","607","$8563.6","8563.6","607","607","$8534.6","8534.6","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","not_flagged_by_title","","[""three_day_gmv_exceeds_total_display"",""has_abbreviated_display_values""]"
"p01-r04","1732603828927697752","https://www.fastmoss.com/zh/e-commerce/detail/1732603828927697752","[MULTI PACKAGE]Women’s Mid-Rise Fitted Faux Sheer Fleece-Lined Tights - Thermal Footed Pantyhose with Single-Seam, Soft Stretch, Smoothing Casual Fabric for Everyday Dresses, Skirts, Coats","7494477973877655384","Shape Muse","https://www.fastmoss.com/zh/shop-marketing/detail/7494477973877655384","1","4","4","4","4","US","美国","2","女装与女士内衣","2026-09-02","$11.90 - 32.40","11.9","32.4","$","","14.5%","14.5","1952","1952","426","426","$5069.4","5069.4","517","517","$6152.3","6152.3","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","not_flagged_by_title","","[]"
"p01-r05","1732603465194443399","https://www.fastmoss.com/zh/e-commerce/detail/1732603465194443399","[Christinas Deals] Comfort Colors Vintage Halloween Movie TShirt, Retro Spooky Season Tee, Horror Film Graphic Shirt, Scary Movie Lover Shirt, Funny Halloween Horror Tee","7496231720277478023","Nudra Clothing","https://www.fastmoss.com/zh/shop-marketing/detail/7496231720277478023","1","5","5","5","5","US","美国","2","女装与女士内衣","2026-09-02","$14.70 - 21.32","14.7","21.32","$","","12%","12","1.11万","11100","190","190","$2637.15","2637.15","190","190","$2556.6","2556.6","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","not_flagged_by_title","","[""three_day_gmv_exceeds_total_display"",""has_abbreviated_display_values""]"
"p01-r06","1732607430657217411","https://www.fastmoss.com/zh/e-commerce/detail/1732607430657217411","Comfrt | VIP Airplane Mode Travel Hoodie | CloudTouch Fleece Hoodie With Silk-Lined Hood & Eye Mask","7495045046260173699","Comfrt","https://www.fastmoss.com/zh/shop-marketing/detail/7495045046260173699","1","6","6","6","6","US","美国","2","女装与女士内衣","2026-09-02","$56.10","56.1","56.1","$","","10%","10","408.50万","4085000","126","126","$7289.45","7289.45","126","126","$7459.35","7459.35","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","not_flagged_by_title","","[""has_abbreviated_display_values""]"
"p01-r07","1732588172807803446","https://www.fastmoss.com/zh/e-commerce/detail/1732588172807803446","Duyang Womens Vintage Acid Wash Barrel Pants High Waist Elastic Waistband with Raw Edge Hems Loose Wide Leg Soft Casual Fashion Trousers Relaxed Fit Cropped Trendy Jogger Pants for Beach & Athleisure Wear","7494767113929655862","DuyangFashion","https://www.fastmoss.com/zh/shop-marketing/detail/7494767113929655862","1","7","7","7","7","US","美国","2","女装与女士内衣","2026-09-02","$9.90","9.9","9.9","$","","10%","10","323","323","109","109","$1079.1","1079.1","109","109","$1079.1","1079.1","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","not_flagged_by_title","","[]"
"p01-r08","1732596473439555736","https://www.fastmoss.com/zh/e-commerce/detail/1732596473439555736","Voucher for Returning Customers - Holiday Reward Coupon for TikTok Shop US Customers-TGT","7494487853873857688","Tiffany Graphic Tee","https://www.fastmoss.com/zh/shop-marketing/detail/7494487853873857688","1","8","8","8","8","US","美国","2","女装与女士内衣","2026-09-02","$4.73","4.73","4.73","$","","14.5%","14.5","6270","6270","80","80","$453.64","453.64","96","96","$729.96","729.96","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","suspected_non_clothing","标题为 Voucher / Reward Coupon，疑似优惠券，暂不纳入服装候选。","[""suspected_non_clothing""]"
"p01-r09","1732508749556716387","https://www.fastmoss.com/zh/e-commerce/detail/1732508749556716387","Women's Gap Relaxed-Fit Fleece Pullover Hoodie, Casual Graphic Top","7494748273958684515","meredithashleyjoh","https://www.fastmoss.com/zh/shop-marketing/detail/7494748273958684515","1","9","9","9","9","US","美国","2","女装与女士内衣","2026-09-02","$24.90","24.9","24.9","$","","14.5%","14.5","59","59","59","59","$1469.1","1469.1","59","59","$1469.1","1469.1","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","not_flagged_by_title","","[]"
"p01-r10","1732462623709238166","https://www.fastmoss.com/zh/e-commerce/detail/1732462623709238166","AE Stovepipe Jeans","7494374164494124950","Luce Mia Boutique","https://www.fastmoss.com/zh/shop-marketing/detail/7494374164494124950","1","10","10","10","10","US","美国","2","女装与女士内衣","2026-09-02","$25.00","25","25","$","","14.5%","14.5","59","59","53","53","$1325","1325","53","53","$1325","1325","https://www.fastmoss.com/zh/e-commerce/newProducts?page=1&region=US&l1_cid=2","2026-09-06T05:01:07.004Z","not_flagged_by_title","","[]"
