field,type,required,definition,provenance,validation
"market","string","必填","站点代码；本任务仅接受US。","商品主数据/后台导出","不可仅按网页语言判断站点。"
"shop_id","string","必填","店铺标识，保留原字符串。","商品或店铺主数据","用于防止跨店误连接。"
"product_id","string","必填","商品标识，必须按文本保存。","商品主数据","长ID不得经Excel或JavaScript浮点数转换。"
"sku_id","string|null","条件必填","若价格或原始事实为SKU粒度，记录SKU；商品粒度可为空但需说明汇总规则。","SKU主数据","不得把商品总曝光复制到每个SKU后相加。"
"category_leaf_id","string","必填","同一分类树中的末级类目ID。","主数据","只用一级类目不能证明属于同类商品。"
"category_path","string","必填","从一级到末级的完整类目路径。","主数据","保留原分类名称，映射另存版本。"
"category_version","string","必填","分类体系来源与版本或有效日期。","提供方说明","跨供应商类目映射需核验。"
"price_amount","decimal","必填","用于分价格带的价格值；由price_basis说明含义。","同期价格记录","不能拿今天售价解释此前30日转化；若期内跨带需拆期或标记。"
"currency","string","必填","原币种ISO代码；本次可比样本要求USD。","主数据","不可只依据美元符号猜币种，不混合汇率换算价。"
"price_basis","string","必填","如展示价、优惠后可获得价、实际成交均价；附税费、运费、优惠券、新客限制和规格。","提供方说明","同价格带须使用相同价格口径；成交均价是成交后的量，不直接代表全部曝光时价格。"
"price_valid_from / price_valid_to","timestamp","必填","价格适用起止时间，必须覆盖被比较的事件时间。","历史价格快照","抓取时间不是价格有效期。"
"price_band_rule","string","必填","价格带上下界、边界包含规则和版本。","验收双方约定","本次不擅自设定具体美元区间。"
"period_start / period_end","timestamp","必填","观测期起止，明确半开区间或包含结束日；推荐半开区间。","原始查询/导出筛选","最近7日字样必须落实成具体日期。"
"timezone","string","必填","源报表实际时区；优先IANA时区或明确UTC偏移。","源报表说明","US不代表固定美东或美西；仅Product Insights文档明确UTC+0。"
"time_basis","string","必填","点击发生期、下单发生期、付款发生期或广告归因互动期。","指标定义","不同记账日的订单不可直接拼到点击分母。"
"traffic_source_raw","string","必填","源报表原始来源值或原始Tab名称。","来源分表/源查询","保留原值，不能用第三方商品来源sourceType替代。"
"traffic_source_taxonomy","string","必填","来源分类体系、版本及父子关系。","提供方说明","All、Affiliate与Affiliate-video存在层级时不可重复相加。"
"content_format / content_owner / placement / paid_status","string","比较切片必填或明确unknown","分别记录视频/LIVE/商品卡、卖家/达人、Search/推荐等入口、付费/自然/混合；能切到哪一级以原始证据为准。","源报表维度","达人视频不必然等于自然流量；Shop Tab不等于Search；只对双方共同支持的粒度比较。"
"product_impressions","integer","必填","该商品链接或商品卡在对应切片内的曝光事件计数。","同商品同来源事实","不得以视频播放量、直播观看量、覆盖人数或店铺曝光代替。"
"product_clicks","integer","必填","对应商品链接或商品卡点击事件计数，写明去重、有效点击过滤。","同商品同来源事实","不得以所有广告点击、点赞、访问人数或跨版本页面浏览数直接替代。"
"order_numerator","integer","必填","与该商品和切片对应的下单分子，单位及事件状态由下列字段锁定。","同一来源事实或可审核归因","全商品总销量、全店订单、总GMV均不能替代。"
"order_unit","enum","必填","order_id去重订单数、SKU订单数、购买事件数或买家数，必须明确选一。","指标说明","SKU订单与商品件数不同；多件同SKU不等于多条SKU订单。"
"order_event_status","string","必填","明确提交订单/付款成功/履约等事件，以及取消、退款、失败、测试订单处理规则。","指标说明","发起结账、加购不能算已下单；不得默认所有Orders都是付款订单。"
"attribution_scope / attribution_model","string","必填","归因对象是同商品还是同店、直接或间接；最后点击或其他规则。","归因文档与源报表","严谨点击下单比较须核实商品一致，排除仅展示归因及未发生点击的订单。"
"click_window / view_window","duration","必填","点击归因和展示归因窗口分别填写；不适用需给出理由。","原始设置/指标文档","不得把普通Shop Ads窗口套用GMV Max或所有自然流量。"
"metric_name_raw / metric_version","string","必填","保留原始指标名称、PV/UV模式及定义版本。","源报表提示/导出字典","旧CVR、新CTOR及Unique CTOR不可仅按名字映射。"
"ctr","decimal|null","派生","同切片product_clicks / product_impressions；存小数，展示时乘100%。曝光为0返回null并记录原因。","本验收拟用事件计数公式","聚合用sum(clicks)/sum(impressions)，不是百分比算术平均。"
"click_to_order_rate","decimal|null","派生","确认分子对应点击后，以order_numerator / product_clicks计算；点击为0返回null。名称应带order_unit。","本验收拟用公式，需源计数验证","SKU订单/点击属于次数比，不自动等于独立用户购买概率，可能超过100%；后台CTOR亦需核实归因。"
"unique_clickers / unique_buyers / dedup_scope","integer或string","选做UV口径时必填","若比较人数转化，使用同点击群体的独立买家/独立点击者，并明确每日还是全周期去重。","UV事实及定义","日去重人数相加不是全周期去重人数；不可与PV次数率混用。"
"source_updated_at","timestamp","必填","提供方实际刷新该商品该指标的时间。","源记录/提供方审计信息","文档发布日期、模型更新日、网页抓取时间均不可替代。"
"data_complete_through / finalized_at","timestamp","必填或明确未成熟","源数据已覆盖到的事件时间及归因/回补冻结时间。","提供方说明","比较期结束后须等实际归因窗口与处理延迟完成，不能武断统一为T+1。"
"retrieved_at","timestamp","必填","本次取得该数据快照的时间，含时区。","采集日志","与source_updated_at分开保存。"
"is_estimated_by_metric","object","必填","逐字段标记true/false/unknown，同时说明模型版本、估算方法、误差验证和抽样方式。","供应商说明及后台对账","未说明不等于false；官方归因值也不等于事件级因果证明。"
"coverage_scope / coverage_denominator / coverage_rate","string或number","必填或明确unknown","授权店铺/市场/类目/活跃状态、采集到的商品数、应覆盖商品总体及覆盖率算法。","提供方覆盖报告","覆盖很多商品不等于全市场；缺少总体分母不能验收市场覆盖率。"
"missing_reason","string|null","缺失时必填","not_returned、suppressed、no_access、not_applicable等，保留具体原因。","原始返回与采集日志","空白或横线不是0；未返回不能直接断言供应商完全不支持。"
"source_uri / extraction_ref / source_file_hash","string","必填","可复查URL或原始文件，以及查询参数/导出筛选、证据记录编号、文件校验值。","证据链","真实数据记录须能回到原始结果；教程截图和Response Example不算实测。"
"sample_kind / acceptance_status","enum","必填","business_observation、public_page_observation、documentation_example；合格/不合格/待确认。","本次审计标签","文档示例只能做结构审查，不能进入真实商品CTR/CTOR样本库。"

