observation_id,keyword,list_position,rank_raw,heat_index_display,impressions_display,likes_display,shares_display,comments_display,classification,reason,status,source_url,keyword_content_url,retrieval_started_at,source_ref,source_row
fm-us-keyword-20260907-p01-r01,free shipping,1,,2880,1140.00万,4.06万,632,414,generic_promotion_or_call_to_action,仅为通用促销或引导用语，本词不能确定服装品类或需求。,暂不进入服装线索池,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=free%20shipping&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,1
fm-us-keyword-20260907-p01-r02,for free,2,,2740,5870.00万,11.09万,776,1165,generic_promotion_or_call_to_action,仅为通用促销或引导用语，本词不能确定服装品类或需求。,暂不进入服装线索池,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=for%20free&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,2
fm-us-keyword-20260907-p01-r03,free,3,,2390,2330.00万,4.56万,269,619,generic_promotion_or_call_to_action,仅为通用促销或引导用语，本词不能确定服装品类或需求。,暂不进入服装线索池,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=free&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,3
fm-us-keyword-20260907-p01-r04,this game,4,4,2230,641.00万,4.54万,140,600,other_context_unverified,this game 的游戏或活动上下文未取得，不能推定为球赛穿搭。,暂不进入服装线索池,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=this%20game&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,4
fm-us-keyword-20260907-p01-r05,try it,5,5,2000,6470.00万,4.05万,553,564,generic_promotion_or_call_to_action,仅为通用促销或引导用语，本词不能确定服装品类或需求。,暂不进入服装线索池,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=try%20it&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,5
fm-us-keyword-20260907-p01-r06,learn more,6,6,1680,3210.00万,4.19万,781,891,generic_promotion_or_call_to_action,仅为通用促销或引导用语，本词不能确定服装品类或需求。,暂不进入服装线索池,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=learn%20more&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,6
fm-us-keyword-20260907-p01-r07,summer,7,7,1620,359.00万,1.65万,248,126,seasonal_context_pending_apparel_link,词义为夏季；服装关联、当前时效及具体商品均待原始内容核验。,待服装关联证据,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=summer&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,7
fm-us-keyword-20260907-p01-r08,had to try,8,8,1590,126.00万,4678,26,170,generic_promotion_or_call_to_action,仅为通用促销或引导用语，本词不能确定服装品类或需求。,暂不进入服装线索池,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=had%20to%20try&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,8
fm-us-keyword-20260907-p01-r09,shop now,9,9,1530,3080.00万,4.03万,511,213,generic_promotion_or_call_to_action,仅为通用促销或引导用语，本词不能确定服装品类或需求。,暂不进入服装线索池,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=shop%20now&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,9
fm-us-keyword-20260907-p01-r10,you try it,10,10,1460,55.80万,2096,18,134,generic_promotion_or_call_to_action,仅为通用促销或引导用语，本词不能确定服装品类或需求。,暂不进入服装线索池,https://www.fastmoss.com/zh/creativecenter/keyword-trends?region=US,https://www.fastmoss.com/zh/creativecenter/search?page=1&words=you%20try%20it&region=US,2026-09-07T04:02:41.474Z,first_page.transcribed.json,10
