evidence_id,review_id,product_id,sku_id,rating,published_at_utc,in_fixed_window,category,original_text,interpretation,possible_related_group,source_url
TSR-001,7679488102971655949,1732381281439289620,1732381308276281620,1,2026-08-29T16:16:07.330Z,False,material,"Product quality: Polyester, looks like polyester, feels like polyester, it is polyester",对聚酯外观/触感的负面评价；不能据此证实成分，也不能推断必须纯棉。,,https://www.tiktok.com/shop/pdp/_/1732381281439289620
TSR-002,7675760801130694414,1732381281439289620,1732434408932544788,1,2026-08-19T15:12:38.239Z,False,fit,Barely fit true to size,尺码/合身表述含糊，未明确哪个部位偏大或偏小，不推导具体尺寸。,,https://www.tiktok.com/shop/pdp/_/1732381281439289620
TSR-003,7671947598756005645,1732381281439289620,1732381308276347156,1,2026-08-09T08:35:37.143Z,False,generic_quality,They are really bad quality and not what you expect !!DO NOT BUY!!,笼统质量不满，未给出可检验的缺陷。,,https://www.tiktok.com/shop/pdp/_/1732381281439289620
TSR-004,7667229258603874061,1732410109013955024,1732410109014479312,1,2026-07-27T15:25:36.713Z,False,fit,Does not fit,仅说不合身，方向及部位未知；与相近时间另一个 SKU 评价可能相关。,POSSIBLE-RELATED-01,https://www.tiktok.com/shop/pdp/_/1732410109013955024
TSR-005,7667229237183416077,1732410109013955024,1732410109014151632,1,2026-07-27T15:25:25.547Z,False,fit,Does not fit,仅说不合身，方向及部位未知；与相近时间另一个 SKU 评价可能相关。,POSSIBLE-RELATED-01,https://www.tiktok.com/shop/pdp/_/1732410109013955024
TSR-006,7666285943252043534,1732410109013955024,1732410109014151632,1,2026-07-25T02:25:26.175Z,False,drape,These were not what I thought.  The  is not as flowy. I returned.,认为裤子没有预期飘逸，并自述已退货；不能从中确定必须材质/克重。,,https://www.tiktok.com/shop/pdp/_/1732410109013955024
TSR-007,7679900019943687949,1732331935794958838,1732475515663127030,1,2026-08-30T18:54:33.776Z,True,fit,Ugly top and way too big. Returninh,明确上衣对该评价者太大；审美不满主观，具体尺码、部位和差值未知，退货状态未确认。,,https://www.tiktok.com/shop/pdp/_/1732331935794958838
TSR-008,7679625345650984718,1732331935794958838,1732437898439463414,1,2026-08-30T01:09:46.761Z,False,delivery,I havent received my order!,自述未收到订单；不能按面料或版型问题处理。,,https://www.tiktok.com/shop/pdp/_/1732331935794958838
TSR-009,7679203048200242957,1732331935794958838,1732505731966996982,1,2026-08-28T21:49:57.564Z,False,delivery,No recibido,西班牙语 No recibido，意为未收到；不能按面料或版型问题处理。,,https://www.tiktok.com/shop/pdp/_/1732331935794958838
TSR-010,7670511149582927629,1732331935794958838,1732495164054344182,1,2026-08-05T11:41:16.936Z,False,delivery,This was not delivered,自述未送达；与相近时间另一个 SKU 评价可能相关。,POSSIBLE-RELATED-02,https://www.tiktok.com/shop/pdp/_/1732331935794958838
TSR-011,7670511005911942926,1732331935794958838,1732331929027711478,1,2026-08-05T11:40:56.636Z,False,delivery,Never received this was not delivered,自述未送达；与相近时间另一个 SKU 评价可能相关。,POSSIBLE-RELATED-02,https://www.tiktok.com/shop/pdp/_/1732331935794958838
TSR-012,7667187073610270478,1732331935794958838,1732370582512374262,1,2026-07-27T12:42:06.488Z,False,empty,,只有低星、无正文，不提炼具体痛点。,,https://www.tiktok.com/shop/pdp/_/1732331935794958838
TSR-013,7664844254631888654,1732331935794958838,1732331929027318262,1,2026-07-21T05:11:05.497Z,False,empty,,只有低星、无正文，不提炼具体痛点。,,https://www.tiktok.com/shop/pdp/_/1732331935794958838
TSR-014,7662128901435246349,1732331935794958838,1732331929027711478,1,2026-07-13T21:33:32.574Z,False,delivery,Never received my package,自述未收到包裹；不能按面料或版型问题处理。,,https://www.tiktok.com/shop/pdp/_/1732331935794958838
TSR-015,7659832827920025357,1732331935794958838,1732437898439528950,1,2026-07-07T17:03:33.633Z,False,material,"Sorry, I wasn’t impressed with the fabric felt cheap",认为面料触感廉价；没有描述粗糙、扎肤、起球或具体替代材质。,,https://www.tiktok.com/shop/pdp/_/1732331935794958838
TSR-016,7654591523830761229,1732331935794958838,1732370582512570870,1,2026-06-23T14:05:11.174Z,False,delivery,Never received the item,自述未收到商品；不能按面料或版型问题处理。,,https://www.tiktok.com/shop/pdp/_/1732331935794958838
