"row_position","keyword","country","weekly_change_display","monthly_change_display","yearly_change_display","search_volume_absolute","search_volume_index","detail_url"
"1","usa football theme outfit","US","100%","5,000%","40%","","","https://trends.pinterest.com/detail/?country=US&terms=usa%20football%20theme%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"2","hawaiian football game outfit","US","30%","4,000%","400%","","","https://trends.pinterest.com/detail/?country=US&terms=hawaiian%20football%20game%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"3","black out football game outfits","US","100%","4,000%","50%","","","https://trends.pinterest.com/detail/?country=US&terms=black%20out%20football%20game%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"4","blackout football game outfit","US","100%","3,500%","900%","","","https://trends.pinterest.com/detail/?country=US&terms=blackout%20football%20game%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"5","white out football game outfit","US","80%","3,500%","100%","","","https://trends.pinterest.com/detail/?country=US&terms=white%20out%20football%20game%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"6","neon football game outfit","US","40%","3,500%","2,500%","","","https://trends.pinterest.com/detail/?country=US&terms=neon%20football%20game%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"7","frat football theme outfit","US","80%","3,000%","80%","","","https://trends.pinterest.com/detail/?country=US&terms=frat%20football%20theme%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"8","labor day weekend outfits","US","700%","2,500%","-10%","","","https://trends.pinterest.com/detail/?country=US&terms=labor%20day%20weekend%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"9","dolly parton outfit ideas","US","100%","2,500%","400%","","","https://trends.pinterest.com/detail/?country=US&terms=dolly%20parton%20outfit%20ideas&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"10","dolly parton outfits","US","80%","2,000%","500%","","","https://trends.pinterest.com/detail/?country=US&terms=dolly%20parton%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"11","camo football game outfits","US","90%","2,000%","1,500%","","","https://trends.pinterest.com/detail/?country=US&terms=camo%20football%20game%20outfits&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"12","dolly parton inspired outfit","US","80%","2,000%","400%","","","https://trends.pinterest.com/detail/?country=US&terms=dolly%20parton%20inspired%20outfit&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"13","fall outfit inspo 2026","US","40%","1,000%","10,000%+","","","https://trends.pinterest.com/detail/?country=US&terms=fall%20outfit%20inspo%202026&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
"14","picture day fits for school","US","20%","900%","600%","","","https://trends.pinterest.com/detail/?country=US&terms=picture%20day%20fits%20for%20school&dateRange=365D&genderDetailsPage=&aggregationLevel=2"
